Кандзи;JLPT
荷;2
刺;2
迎;2
箱;2
浅;2
貧;2
暴;2
総;2
敬;2
閉;2
埋;2
捕;2
批;2
逆;2
臣;2
級;2
宅;2
泉;2
祭;2
了;2
依;2
恥;2
珍;2
隅;2
植;2
基;2
健;2
震;2
棒;2
額;2
砂;2
展;2
疲;2
翌;2
猫;2
豊;2
犯;2
被;2
油;2
講;2
順;2
憎;2
辞;2
混;2
欠;2
姓;2
泊;2
減;2
召;2
袋;2
型;2
誌;2
燃;2
舟;2
陸;2
救;2
誤;2
勤;2
製;2
険;2
糸;2
検;2
希;2
省;2
敗;2
旧;2
畳;2
責;2
耕;2
司;2
慣;2
編;2
査;2
党;2
除;2
踊;2
咲;2
設;2
歯;2
机;2
浴;2
簡;2
適;2
看;2
録;2
費;2
栄;2
延;2
球;2
甘;2
収;2
宝;2
泥;2
帽;2
辛;2
材;2
詞;2
規;2
拝;2
換;2
律;2
革;2
盗;2
圧;2
努;2
導;2
童;2
宇;2
柱;2
含;2
防;2
算;2
操;2
遅;2
則;2
畑;2
干;2
濃;2
乳;2
財;2
幼;2
練;2
専;2
偶;2
停;2
届;2
鋭;2
授;2
築;2
針;2
略;2
封;2
康;2
汚;2
狭;2
孫;2
緑;2
厚;2
標;2
靴;2
拾;2
汗;2
粉;2
貨;2
械;2
悩;2
卒;2
祈;2
占;2
営;2
札;2
恵;2
管;2
氷;2
乾;2
偉;2
禁;2
祝;2
効;2
巨;2
湖;2
較;2
率;2
整;2
柔;2
灰;2
塔;2
賞;2
枯;2
招;2
麦;2
塗;2
塩;2
超;2
損;2
掘;2
爆;2
央;2
脳;2
課;2
暖;2
協;2
肌;2
倍;2
忙;2
宙;2
匹;2
替;2
賢;2
臓;2
季;2
測;2
符;2
委;2
紹;2
捜;2
補;2
競;2
拡;2
複;2
担;2
曇;2
双;2
採;2
涼;2
港;2
炭;2
皿;2
環;2
磨;2
漁;2
訓;2
菓;2
綿;2
掃;2
冊;2
昇;2
預;2
税;2
幅;2
刊;2
域;2
銅;2
筒;2
絡;2
署;2
畜;2
賃;2
伺;2
泳;2
貝;2
欧;2
蒸;2
肯;2
齢;2
賛;2
況;2
鈍;2
喫;2
航;2
贈;2
膚;2
粒;2
均;2
卵;2
療;2
凍;2
雇;2
滴;2
液;2
輸;2
績;2
郵;2
溶;2
湿;2
胃;2
硬;2
庁;2
脂;2
副;2
秒;2
貯;2
郊;2
挟;2
鉱;2
沸;2
湾;2
零;2
濯;2
軟;2
億;2
募;2
兆;2
燥;2
券;2
駐;2
販;2
貿;2
僕;1
郎;1
眼;1
士;1
吉;1
我;1
義;1
如;1
氏;1
誰;1
頃;1
又;1
姿;1
振;1
松;1
俺;1
貴;1
井;1
宮;1
影;1
衛;1
態;1
離;1
掛;1
素;1
敷;1
江;1
藤;1
幾;1
驚;1
那;1
為;1
昭;1
奴;1
怪;1
至;1
房;1
詩;1
従;1
里;1
妙;1
傍;1
己;1
沢;1
徳;1
黙;1
派;1
興;1
端;1
往;1
博;1
縁;1
附;1
敵;1
訳;1
視;1
及;1
隠;1
仰;1
魔;1
句;1
雄;1
微;1
宗;1
衆;1
尾;1
眺;1
源;1
鹿;1
